Scenario,Year,Crop demand,Energy crop demand,Livestock demand,Energy crop production,Non-energy crop production
SSP4 - 6.0,2060,4861749764,4462581725,309141212.1,1101942473,4908311613
SSP4 - Baseline,2060,0,0,0,1169169265,4940717374
SSP5 - 1.9,2060,0,17786588100,555408400,17786588100,6174538200
SSP5 - 2.6,2060,0,14742592600,548486200,14742592600,6052379200
SSP5 - 3.4,2060,0,5030808100,546835200,5030808100,6003412000
SSP5 - 4.5,2060,0,3640707100,546391600,3640707100,5987242400
SSP5 - 6.0,2060,0,136672100,556845100,136672100,6059344900
SSP5 - Baseline,2060,0,34324900,545685900,34324900,6029989800
SSP1 - 1.9,2070,5473166625,0,326584119.1,4050276313,5473212000
SSP1 - 2.6,2070,5473166625,0,326584119.1,2995031625,5479598000
SSP1 - 3.4,2070,5504243500,0,327292790,2014145227,5519789000
SSP1 - 4.5,2070,5537941500,0,327900635.7,1974305289,5552553000
SSP1 - Baseline,2070,5577899250,0,328808197.3,1923219180,5594197000
SSP2 - 1.9,2070,3431014635,0,276707794.1,7900094276,3720025280
SSP2 - 2.6,2070,4305793128,0,357231063.5,5901253250,4597730598
SSP2 - 3.4,2070,4652700094,0,392618684.7,4414305039,4945195476
SSP2 - 4.5,2070,4834685184,0,409914104,3309945797,5127300778
SSP2 - 6.0,2070,4986592736,0,422765346.2,2347505039,5279289678
SSP2 - Baseline,2070,5032566591,0,426433917.4,2294504674,5325285643
SSP3 - 3.4,2070,35932560600,39375695900,434614600,7167183100,6600240800
SSP3 - 4.5,2070,28874216500,30511765800,439808400,5402502400,6623522300
SSP3 - 6.0,2070,25991916900,26873695300,444496000,4760068500,6571400300
SSP3 - Baseline,2070,10569600400,7601542900,447496900,950184300,6502512900
SSP4 - 2.6,2070,4631168732,13720115300,286203612.4,7744104124,4919074582
SSP4 - 3.4,2070,4764389428,9439653165,297221030.5,4981006890,4901687526
SSP4 - 4.5,2070,4840582218,7101882306,303464075.8,3189633018,4917135902
SSP4 - 6.0,2070,4990659644,4722943634,31.625.176.909.999.900,1228501030,5039111504
SSP4 - Baseline,2070,0,0,0,1246357131,5090665457
